ItemID,ebay_id,instock_qty,warehouse_qty,ebay_team_qty,newitemreceiveddate,last_upload_date,ebay_status,last_markedforebay
LMK2PlusNCU1,,1,1,0,10/6/2022,11/6/2021,,
LP559T-RGMU1,,1,1,0,4/21/2022,4/27/2022,,
LP633U1,,1,1,0,8/18/2022,9/2/2022,,
LP6U2,,1,1,0,8/17/2021,1/25/2021,,
LP6v2U1,,1,1,0,10/11/2022,1/6/2022,,
LP805ZAWU1,,1,1,0,10/10/2022,10/26/2022,,
LPCBLKU1,,1,1,0,11/14/2022,11/18/2022,,
LS55072U1,,1,1,0,8/11/2022,9/2/2022,,
LSL0VSN19U1,72327,1,1,0,11/23/2022,7/1/2020,Shipped,7/1/2020
LU0713U1,,1,1,0,8/18/2022,9/1/2022,,
LX1RELU1,,1,1,0,6/13/2022,8/8/2022,,
LX7ii-24U1,,1,1,0,2/24/2022,3/9/2022,,
M2TDanteU1,,1,1,0,8/5/2022,8/12/2022,,
M48-6pkU1,50782,1,0,0,11/17/2022,11/10/2021,Shipped,12/19/2017
MA1micU1,,1,1,0,11/22/2022,11/25/2022,,
MasterCompU1,,1,1,0,11/22/2022,4/11/2022,,
MB5055U1,,1,1,0,9/21/2022,9/28/2022,,
MBassAPPPOSU2,,1,1,0,10/25/2022,10/25/2022,,
MCUproU2,85868,1,1,0,3/1/2022,3/8/2022,Post #3,9/6/2022
MDL16U1,,1,1,0,10/3/2022,9/13/2022,,
MDS-COMU3,,1,1,0,8/26/2022,11/1/2022,,
MDSSTGU1,82269,1,1,0,7/20/2022,10/25/2021,Shipped,4/8/2022
MDSSTGU2,,1,1,0,8/3/2022,8/9/2022,,
ME30BU1,,1,1,0,9/8/2022,10/18/2022,,
ME3IIU1,,1,1,0,11/22/2022,8/20/2019,,
MediaTray2U1,,1,0,0,11/22/2022,11/5/2021,,
MegaGoP64PlU1,,1,1,0,10/14/2022,10/18/2022,,
MegaPacU2,87086,1,0,0,8/30/2021,9/1/2021,On Invoice,11/1/2022
MEI-CM2U1,,1,1,0,11/12/2022,11/15/2022,,
MGA41007U2,,1,1,0,11/1/2022,11/8/2022,,
MID204U1,,1,1,0,8/17/2022,9/2/2022,,
Milan12U1,,1,1,0,10/4/2022,9/11/2019,,
Milan15U3,,1,1,0,8/20/2022,10/18/2022,,
MiniRectHDREDU2,,1,0,0,5/25/2022,6/6/2022,,
MiniRectHDU1,45621,1,1,0,9/22/2022,9/1/2021,Shipped,6/13/2017
MJ-GBU1,,1,0,0,10/29/2022,11/7/2022,,
MKEEssOBEU1,,1,1,0,9/2/2022,9/9/2022,,
MMV9A5BSU1,,1,1,0,11/11/2022,11/11/2022,,
Model16U2,,1,0,0,11/18/2022,11/23/2022,,
MOD-SUMV2U1,,1,0,0,11/18/2022,11/18/2021,,
MOD-XLRMFU1,,1,1,0,11/18/2022,11/22/2022,,
MOD-XLRMMU1,,1,1,0,11/9/2022,11/15/2022,,
MPCStudio2U2,,1,1,0,11/1/2022,11/7/2022,,
MPDC1U1,,1,1,0,7/27/2022,9/19/2022,,
MrKool2U1,,1,1,0,11/12/2022,11/18/2022,,
MS201BU1,,1,1,0,11/15/2022,11/23/2022,,
MultiSwitchPU1,,1,1,0,10/11/2022,1/19/2022,,
MultiSwitchPU2,,1,0,0,10/15/2022,10/28/2021,,
MX88BKU2,,1,0,0,6/3/2022,6/21/2022,,
NDH20U1,,1,1,0,11/9/2022,3/12/2021,,
Noodle100BLU1,,1,1,0,10/17/2022,10/24/2022,,
NS322-BVU2,,1,1,0,4/27/2022,5/19/2022,,
NSP4ChGrU1,,1,1,0,9/28/2022,9/28/2022,,
NTG4U1,,1,1,0,11/7/2022,11/17/2022,,
NX3000DU1,,1,0,0,11/16/2022,11/22/2022,,
OATinaCESMSU1,77686,1,1,0,4/15/2022,8/27/2021,Shipped,8/25/2021
